name,makerId,type,ISO,formats,process,Image SRC
Leica SOFORT Color film,15,Color instant ,800,INSTAX Mini,Integral,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Leica-SOFORT-Color-film.jpg
Leica SOFORT monochrom,15,Black and White instant ,800,INSTAX Mini,Integral,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/Leica-SOFORT-monochrom-film.jpg
Lomography Color Negative 400,16,Color negative,400,"35mm, 120",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/lomography-color-negative-400.jpg
Lomography Color Negative 800,16,Color negative,800,"35mm, 120",C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/lomography-color-negative-800.jpg
Lomography Earl Grey 100,16,Black and White negative,100,"35mm, 120",BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/film-lomography-earl-grey.jpg
Lomography XPRO Chrome 100,16,Color reversal,200,35mm,E-6,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/lomography-xpro-chrome-100-35mm-3-pack.jpg
Lomography XPRO 200,16,Color reversal,200,"35mm, 120",E-6,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/05/lomography-xpro-200-iso.jpg
Lucky New SHD100,17,Black and White negative,100,"35mm, 120",BW,https://i0.wp.com/emulsive.org/wp-content/uploads/2017/08/Luck-New-SHD-100-Collage.jpg?resize=1000%2C1000&ssl=1
Oriental Seagull 100,18,Black and White negative,100,35mm,BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Film-Oriental-Seagull-100.jpeg
Oriental Seagull 400,18,Black and White negative,400,35mm,BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Film-Oriental-Seagull-400.jpeg
Orwo DN21,19,Motion picture color,16,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Orwo.png
Orwo DP31,19,Motion picture color,3,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Orwo.png
Orwo N74PLUS,19,Motion picture color,400,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Orwo.png
Orwo PF2,19,Motion picture color,50,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Orwo.png
Orwo TF 12d,19,Motion picture color,50,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Orwo.png
Orwo UN54,19,Motion picture color,100,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Orwo.png
J Lane Dry Plates,20,Black and White glass dry plate,2 or 3 (development dependent),"35mm, 4×5, 5×7, 8×10, Custom",BW,https://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/J-Lane-Dry-Plates.jpg?ssl=1
ReraChrome 100,21,Color reversal,100,127,E6,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/09/Film-ReraChrome-100.jpg
ReraPan 100,21,Black and White negative,100,127,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Rerapan.png
ReraPan 400,21,Black and White negative,400,127,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/09/Film-ReraPan-400.jpg
Rollei CN 200,22,Color negative,200,120,C-41,https://i2.wp.com/emulsive.org/wp-content/uploads/2017/09/Logo-Rollei.png
Rollei Crossbird,22,Color negative,200,"35mm, 120, 127",E-6,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-Crossbird.jpg
Rollei Infrared 400,22,Black and White negative,400,"35mm, 120, 70mm, Sheet",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-Infrared-400.jpg
Rollei Ortho 25 plus,22,Black and White negative,25,"35mm, 120, Sheet",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-Ortho-25.jpg
Rollei Retro 400S,22,Black and White negative,400,"35mm, 120",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-Retro-400s.jpg
Rollei Retro 80S,22,Black and White negative,80,"35mm, 120",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-Retro-80s.jpg
Rollei RPX 25,22,Black and White negative,25,"35mm, 120, Sheet",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-RPX-25.jpg
Rollei RPX 100,22,Black and White negative,100,"35mm, 120, Sheet",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-RPX-100.jpg
Rollei RPX 400,22,Black and White negative,400,"35mm, 120, Sheet",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-RPX-400.jpg
Rollei Superpan 200,22,Black and White negative,200,"35mm, 120",BW,http://i0.wp.com/emulsive.org/wp-content/uploads/2018/07/Rollei-Superpan-200.jpg
Shanghai GP3,23,Black and White negative,100,"120, 3.25×4.25″, 5×7″, 20×24″",BW,https://i1.wp.com/emulsive.org/wp-content/uploads/2018/08/film-shanghai-gp3.jpg
Silberra PAN100,24,Black and White negative,100,"35mm,120",BW,https://i0.wp.com/emulsive.org/wp-content/uploads/2017/10/Silberra-PAN100-Box.jpg
Silberra PAN160,24,Black and White negative,160,"35mm,120",BW,https://i0.wp.com/emulsive.org/wp-content/uploads/2017/10/Silberra-PAN160-Box.jpg
Silberra PAN200,24,Black and White negative,200,"35mm,120",BW,https://i0.wp.com/emulsive.org/wp-content/uploads/2017/10/Silberra-PAN200-Box.jpg
Silberra ULTIMA 100,24,Black and White negative,100,"35mm,120",BW,https://i1.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Silberra.png
Silberra U200,24,Black and White negative,200,35mm,BW,https://i1.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Silberra.png
Silberra U400,24,Black and White negative,200,35mm,BW,https://i1.wp.com/emulsive.org/wp-content/uploads/2018/03/Logo-Silberra.png
Svema Blue Sensitive,25,Black and White negative,6,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Svema-Blue-1024x1024.jpg
Svema FN 64,25,Black and White negative,64,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Svema-FN64-100ft-1024x1024.jpg
Svema Foto100,25,Black and White negative,100,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Svema-Foto-100-1024x1024.jpg
Svema Foto 200,25,Black and White negative,200,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Svema-Foto-200-1024x1024.jpg
Svema Foto 400,25,Black and White negative,400,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Svema-Foto-400-1024x1024.jpg
Svema MZ3,25,Black and White negative,3,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Svema-MZ3sticker-1024x1024.jpg
Svema Super Positive Film,25,Black and White negative,0.8,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Svema-SuperPos-1024x1024.jpg
Tasma NK2,26,Black and White negative,100,35mm,BW,https://i2.wp.com/emulsive.org/wp-content/uploads/2018/08/Tasma-NK2-1024x1024.jpg
